,salary,Company,Size,Industry,SectorType,Skills,Rating,Title,City,State,Python,Excel,SQL,R Shiny,Tableau,MySQL,Hive,SAS,Hadoop,Sector,Low-Salary,High-Salary
0,,Safety Services Company,,,,,,,,,,,,,,,,,,,,
1,Est. Salary $52k-$69k,First Advantage Corporation,1001 to 5000 employees,Business Services,Company - Private,"First Advantage is the world's largest provider of comprehensive background screening, identity and information solutions that give employers and housing providers access to trusted information for making faster, more accurate people decisions.

Leveraging our advanced global technology platform and customer service experts throughout the world, we build fully scalable, configurable screening programs that meet the unique needs of over 45,000 client organizations. Headquartered in Atlanta, GA. First Advantage has offices throughout North America, Europe and Asia.

First Advantage is currently seeking a Data Analyst. The Data Analyst will utilize lean six sigma tools and data-driven analysis. This client-facing position will work with key clients to drive meaningful improvement and solve client’s biggest problems. A challenging role that requires a unique balance of strong quantitative skills and excellent communication skills. This role will engage with clients to understand their unique needs and lead projects to improve performance. Opportunity to make a significant impact. The insights and best practices from these projects will be leveraged across the organization.

Essential Job Duties and Responsibilities
Lead Lean Six Sigma projects with key clients to drive improvement in end-to-end process
Understand client needs and document existing process to identify opportunities for improvement
Conduct statistical analysis to quantifiably parse process to isolate bottlenecks and vulnerabilities
Generate solutions to drive desired improvements and recommendations to streamline the process
Design pilots to test proposed solutions and validate efficacy
Leverage analysis to maximize findings across similar clients
Education
Bachelor's degree from an accredited university
Bachelor’s or Master’s Degree in a quantitative discipline such as mathematics or statistics is preferred
Six Sigma Green Belt/Black Belt is preferred
Experience
Must have experience using Lean Six Sigma tools
Must be able to analyze data and develop sustainable solutions to key client challenges
Additional Knowledge and Skills
Understand client issues and develop collaborative relationship to work together towards solution
Ability to present complex issues in easy-to-understand and impactful format
Persuasively explain key issues and recommendations; work effectively across various levels of the organization, both internally and externally
Desire to understand different businesses and industries; thirst to figure out challenging problems and seek to generate insights
Agility to handle a portfolio of different clients across numerous industries and confidence to learn new business models with each engagement
Familiar with basic Data Science tools such as regression and cluster analysis
Capable of effectively leading teams
We are an equal employment opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, national origin, disability status, protected veteran status or any other characteristic protected by law.",2.5,Data Analyst, – Atlanta, GA,False,False,False,True,False,False,False,False,False,Private, 52,69
2,Est. Salary $59k-$78k,Quotient Technology Inc.,501 to 1000 employees,Business Services,Company - Public (QUOT),"As a Data Analyst with Quotient, you will be responsible for quantifying deep understanding of consumer behavior patterns and motivations through analysis of consumer response to product and marketing strategies and tactics. The right candidate will utilize advanced data mining and statistical techniques to drive this empirical understanding and surface optimization and product enhancement insights and opportunities.

You will be a key member of the Analytics and Research team, and contribute to the analytics product lifecycle of strategy, design, development, test and delivery of data-driven algorithms and techniques to further optimize the product offerings. As a part of this team, you will collaborate on driving consumer focused solutions across personalized promotion, media and advertisement recommendations, targeting and insights.

Position Responsibilities:
Identify and assess key opportunity areas where data and science can enhance products
Develop detailed plans for achieving desired product goals, including impact assessment
Devise, develop, test and deploy new data models
Effectively engage and partner with other product teams, engineering, and sales to drive the implementation of your models and make an impact
Actively influence product roadmaps to drive higher monetization and optimization
Drive the production of analytic capabilities in data management, modeling and algorithms
Be an innovator with demonstrated ability to craft a data science vision, get people excited by ideas and get them quickly to market via existing or new products
Position Qualifications:
BS in Computer Science, Statistics, Applied Mathematics, AI, or related areas from a top school
Preferred MS in one of the above disciplines
Up to 3 years’ experience in applying data and science to improve products and services
Solid and proven background in data mining, statistical analysis, segmentation and modeling
Ability to grasp complex concepts and develop clear, concise, synthesized recommendations backed by data and analyses
Experience in manipulating large data sets and analyzing them to identify actionable insights
Fluency in analytical tools such as R (preferred), SAS, etc.
Understanding of programming languages like C/C++/Java and scripting languages like Perl/Python
Experience in designing, executing and measuring A/B tests for optimization models
Exceptional collaborative, communication and presentation skills with the ability to work well across the organization driving overall shareholder value
Strong initiative, high energy, hands-on and impeccable integrity",3.5,Data Analyst, – Cincinnati, OH,True,False,False,True,False,False,False,False,False,Public, 59,78
3,Est. Salary $93k-$121k,Doximity,1 to 50 employees,Information Technology,Company - Private,"Why work at Doximity?

Doximity is rewiring healthcare and is the 6th fastest growing technology company in North America. Here's how clinicians use our products. For us, transparency is key, so ensuring your goals and values align with ours is also an important step. Take a look at how we Work at Doximity.

Fun facts about the data science team
We have access to one of the richest healthcare datasets in the world, with deep information on hundreds of thousands of healthcare professionals and their connections.
We build code that addresses user needs, solves business problems, and streamlines internal processes.
The members of our team bring a diverse set of technical and cultural backgrounds.
Business decisions at Doximity are driven by our data, analyses, and insights.
Hundreds of thousands of healthcare professionals will utilize the products you build.
A couple times a year we run a co-op where you can pick a few people you'd like to work with and drive a specific company goal.
We like to have fun - company outings, team lunches, and happy hours!
Here's what you can expect
Collaborate with a team of product managers, analysts, data scientists, and other developers to define and complete data projects.
Show off your coding skills by creating data products from scratch, and streamlining/automating existing code.
Leverage machine learning knowledge to identify and classify behavioral patterns of physicians on our platform.
Play a key role in creating client-facing analytics.
Grow into a presentation/communication-focused role or dive deeper into more-involved technical challenges - the choice is yours.
Learn from experienced mentors and build your technical and non-technical skill sets.
What we expect
B.S. or M.S. in quantitative field with 0-2 yrs of experience;
Decent knowledge of statistics and visualization;
Expert in SQL. This skill is an absolute must;
Familiarity with Python and a willingness to work toward fluency;
Comfortable with UNIX command line interface and standard programming tools (vim/emacs, git, etc.);
Excellent problem solving skills;
Ability to manage time well and prioritize incoming tasks from different stakeholders;
Strong attention to detail;
Fast learner; curiosity about and passion for data;
Prior exposure to machine learning techniques (regressors, classifiers, etc) is a plus.
Your Perks
Full medical, vision, dental for you and your family.
Stock, pre-IPO stock incentives.
3+ weeks of vacation (another week off during the December Holidays)
401K and flexible spending accounts.
Life insurance and disability insurance coverage.
Brand new computer.
Fully stocked kitchen.
All-company trips in fun places like Beverly Hills, Lake Tahoe, and Puerto Vallarta, Mexico.
About Doximity
Doximity is the leading online medical network with over 70% of U.S. doctors as members.
Putting a dent in the inefficiencies of our $2.5 trillion U.S. healthcare system.
VC-backed startup located in SoMa San Francisco.
Strong revenues, real market traction.
Launched by Jeff Tangney in 2011; Jeff previously founded healthcare pioneer Epocrates (NASDAQ: EPOC).
After the iPhone, Doximity is the fastest adopted product by doctors of all time.
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.",4.5,Data Analyst, – San Francisco, CA,True,True,False,False,False,False,False,False,False,Private, 93,121
4,Est. Salary $48k-$60k,National Oilwell Varco,10000+ employees,"Oil, Gas, Energy & Utilities",Company - Public (NOV),"Description:


The position of Data Analyst will be responsible for the migration, manipulation, and maintenance of data to ensure data integrity in the Product Lifecycle Management (PLM) system. The position will work closely with Project Managers and business units to determine the data requirements and to ensure that all data conforms to the proper data standards and business needs. The Data Analyst will also be responsible for developing and testing new processes and procedures to improve efficiency of current task.

Primary duties and responsibilities include:

Assist in determining data migration requirements
Perform data analysis
Ensure data quality via reporting and analysis
Perform required data manipulation to conform to business needs
Perform data migration activities during project implementations
Perform ETL activities.
Test newly created or modified data utilities to ensure proper operation
Initiate, coordinate and participate in system optimization efforts for all sites
Communicate technical issues effectively to “non-technical” personnel
Take ownership of projects as assigned
Provide timely response to support requests
Required Skills
Bachelor’s degree
2-5 years’ hands-on experience with SQL
2-5 years’ experience as a data-oriented business analyst or similar position.
Solid understanding of relational database concepts as well as data preparation quality and governance frameworks.
Data Warehouse Administration.
Experience with Tableau, Cognos, OBIEE, or other BI tools preferred
Informatica Server Administration, mapping-and-workflow design.
Knowledge of Siemens Teamcenter PLM software preferred.
Detail oriented",3.5,Data Analyst, – Houston, TX,False,False,False,True,True,False,False,False,False,Public, 48,60
5,Est. Salary $75k-$98k,ThousandEyes,51 to 200 employees,Information Technology,Company - Private,"About ThousandEyes

The name ThousandEyes was born from two big ideas: the power to see things not ordinarily possible and the ability to collect insights from a multitude of vantage points. As organizations rely more on cloud services and the Internet, the network has become a black box they can't understand. ThousandEyes gives organizations visibility into the now borderless network, arming them with an accurate understanding of how the network impacts their applications, users and customers. ThousandEyes is used by some of the world's largest and fastest growing brands, including all of the top 5 global software companies, 5 of the top 6 US banks, and 45 of the Fortune 500. ThousandEyes is backed by Sequoia Capital, Sutter Hill Ventures, Tenaya Capital, Google Ventures and Salesforce Ventures, with headquarters in San Francisco, CA.

About the position

Were looking for an inquisitive Data Analyst who enjoys working cross-functionally, has a strong passion for analytics and is eager to learn and implement cutting edge data technologies. The ideal candidate will have a background in a quantitative or technical field, has excellent communication skills and have demonstrated success in using analytics to drive understanding and to influence business decisions.

You will work across Product, Marketing, Sales, Finance and Customer Success teams to provide insight, identify opportunities and impact the strategy of ThousandEyes. This is a unique hybrid role where you will be able to apply your knowledge tallying up numbers and communicating your findings to different teams but also further develop your data science knowledge creating predictive models across different areas of the business.

In short, you will be a key contributor that has proven business analysis experience and is eager to explore and apply cutting edge data science models to accelerate ThousandEyes growth.

Responsibilities
Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and inform product and business decisions
Collaborate with cross-functional stakeholders to understand their business needs, formulate and complete end-to-end analysis that includes data gathering, analysis, ongoing scaled deliverables and presentations
Build and automate pipelines using SQL and Python based ETL framework
Develop and automate reports, iteratively build and prototype dashboards to provide insights at scale, solving for analytical needs across different teams
Research, implement and fine-tune predictive data science models that will help identify customers at risk and score our marketing leads
Communicate insights on a regular basis to the appropriate level of management
Required Skills
BA/BS with quantitative focus (e.g. Economics, Computer Science, Mathematics, Physics, Statistics) or equivalent practical experience
3+ years performing quantitative analysis and using data visualization tools to deliver dashboards at scale
3+ years experience with SQL (Redshift, MySQL, Hive, etc.)
Development experience in at least one scripting language (e.g. Python, Perl)
Experience with statistical analysis and statistical software (R, MATLAB, SAS, Stata or similar)
Strong cross-functional and interpersonal skills with demonstrated ability to communicate technical content to general audiences
Preferred Skills
Demonstrated willingness to learn and apply new data science techniques to solve business problems
Knowledge of industrial grade data architectures and reporting tools (e.g., ChartIO, Tableau)
Work experience in an inter-disciplinary/cross-functional field
Working experience in SaaS companies",4.8,Data Analyst, – San Francisco, CA,True,False,False,True,True,True,True,False,False,Private, 75,98
6,Est. Salary $41k-$53k,M&C Saatchi,,,,,,,,,,,,,,,,,,, 41,53
7,Est. Salary $63k-$85k,Telltale Games,,,,,,,,,,,,,,,,,,, 63,85
8,Est. Salary $68k-$86k,Wells Fargo,10000+ employees,$10+ billion (USD) per year,Company - Public (WFC),"Job Description

We have an exciting opportunity to join the CMCR (Capital Markets Credit Risk) TODS (Transaction & Operational Data Services) group. This position will serve as a data analyst on MODE (Mortgage Operational Data Environment) performing detailed data analysis to support the development and implementation of MODE solutions.

The selected team member for this role must be able to:
Participate in the planning, design, and usage of data resources, including leading projects to ensure timely delivery
Independently solicit and document high level and detailed business requirements in a clear, concise, organized manner
Analyze business processes and impacts to related systems/applications
Lead the process to integrate data into new and/or existing data structures
Complete data mapping tasks, and serve as the data expert in assigned projects and systems
Partner with MODE SDEs (Solution Design Engineers) to create the FSD (Functional System Design) document and Source to Target Mapping document to complete Functional Specifications for ETL development
Maintain and ensure that Metadata and internal documentation is updated as a result of project implementations and business analysis
Coordinate Change Controls
Follow established internal processes and adhere to SDLC policies
Analyze and resolve production defects
Contribute to and follow data architecture and data management policies and standards and provide senior-level consulting services in the identification and resolution of data design and data management issues.
A successful candidate in the role should demonstrate the following competencies:
Demonstrated ability to interface with all organizational levels including facilitating meetings
Ability to present technical information intra/inter-departmentally
Meeting and project facilitation skills
Strong decision making abilities
Ability to work with remote resources
Capacity to develop a clear understanding of the business needs and incorporate these needs into technical solutions
Please note: This position is available within the following market areas: Minneapolis MN, Des Moines IA, and Charlotte NC.

This is a full-time regular opportunity with a compensation package to include base salary, a benefits package to include medical, dental, optional plans, 401K, et cetera. Other benefits include a generous

Required Qualifications
7+ years of business systems analysis experience, business systems design experience, or a combination of both
6+ years of data analysis experience
6+ years of SQL experience
Desired Qualifications
Excellent verbal, written, and interpersonal communication skills
Knowledge and understanding of mortgage data analysis: business analysis and data requirement gathering
Knowledge and understanding of project management and implementation in an IT applications systems environment
Large-scale project management skills
Other Desired Qualifications
WFHM business knowledge
Experience with Mortgage industry applications
Strong knowledge/experience with Oracle database platforms
Experience with Jira
Job Expectations
Ability to travel up to 15% of the time
Disclaimer
All offers for employment with Wells Fargo are contingent upon the candidate having successfully completed a criminal background check. Wells Fargo will consider qualified candidates with criminal histories in a manner consistent with the requirements of applicable local, state and Federal law, including Section 19 of the Federal Deposit Insurance Act.

Relevant military experience is considered for veterans and transitioning service men and women.

Wells Fargo is an Affirmative Action and Equal Opportunity Employer, Minority/Female/Disabled/Veteran/Gender Identity/Sexual Orientation.",3.5,Data Analyst (Business Systems Consultant 5), – Minneapolis, MN,False,True,False,True,False,False,False,False,False,Public, 68,86
9,Est. Salary $57k-$86k,UnitedHealth Group,10000+ employees,$10+ billion (USD) per year,Company - Public (UNH),"We are changing the way health care works for the better. That means consulting with our members, partnering with our physicians/clinicians, and delivering drugs in the most efficient and effective way. Join us and start doing your life's best work.(sm)

Primary Responsibilities:
This role will work with the Analytical Model Development teams to:

Examine, assess, validate and document business operations and procedures to ensure data integrity, data security and process optimization
Schedule, maintain and provide the QA reviews for multiple data delivery work streams
Build and maintain relationships with upstream and downstream partners to identify prioritize and support continuous improvement and optimization opportunities
Participate in the planning and design of data validation/QA testing for Predictive Modeling team and for analytic systems improvement projects
Ensure accuracy, consistency and quality of deliverables regardless of client data challenges
Act as Lead for specific client data projects and interact with technical staff and commercial client to work on the project
Identify errors from analysis of predictive model output for quality and suggesting ways to improve that quality
Document any modeling errors or data defects and next steps for internal reporting
Work with less structured, more complex issues
Work in a cross-matrix environment and serve as a resource to others",3.3,Senior Data and Process Analyst, – Eden Prairie, MN,False,False,False,True,False,False,False,False,False,Public, 57,86
